customer_id,first_name,last_name,email,phone,address,city,state,zip_code,country,registration_date,customer_segment,is_active
1,Danielle,Johnson,john21@example.net,001-581-896-0013x3890,9402 Peterson Drives,Port Matthew,Colorado,50298,USA,2024-04-17,Basic,True
2,Michael,Cooper,lindsay78@example.org,(518)349-5931x0341,7525 Clark Grove Apt. 928,East Steven,Louisiana,84387,USA,2025-07-20,Premium,True
3,Angela,Cohen,perezantonio@example.com,(541)639-5376x7242,653 William Course Apt. 122,Carlsonfurt,Missouri,78605,USA,2025-01-30,Premium,True
4,Allison,Maddox,frazierdanny@example.net,001-645-514-6270x48281,2880 Burns Creek,Natashaport,Kansas,08093,USA,2024-08-07,Premium,True
5,Natalie,Arroyo,dennislisa@example.net,001-822-778-2489x63834,713 Caleb Brooks Apt. 930,Lake Crystalbury,California,04618,USA,2025-11-30,Basic,True
6,Mark,Palmer,elizabeth38@example.org,001-899-973-7631x1656,106 Mcbride Coves,East James,New Hampshire,18874,USA,2024-12-25,Basic,False
7,Isaiah,Ford,ramosmichelle@example.net,908-501-3267,26064 Mitchell Square Suite 234,North Beth,Ohio,08490,USA,2025-09-04,Premium,True
8,Lee,Williams,hshaw@example.org,3815219136,169 Donovan Ford,Johnfurt,Florida,88540,USA,2025-06-17,Premium,True
9,Kevin,Stewart,smithchristine@example.net,518-738-4251,78498 Elizabeth Plaza Suite 124,North Juliaberg,Louisiana,37431,USA,2025-05-16,Premium,True
10,Jason,Cooper,william40@example.org,+1-264-300-5242x7868,280 Aguilar Drive,Andersonport,Mississippi,05730,USA,2025-12-31,Basic,True
11,Michael,Fleming,gomezanita@example.com,+1-423-322-6025x634,73375 Hoover Well Apt. 303,Murphyland,Wyoming,37086,USA,2024-10-31,Basic,False
12,Darlene,Ross,sheila14@example.org,001-340-819-6556,0608 Michael Cliff,Cindyville,Washington,39864,USA,2025-03-01,Premium,False
13,Kyle,Ortiz,jterry@example.org,266.629.9468,69957 Ramos Forest Suite 214,Clarencebury,Utah,41188,USA,2024-07-25,Basic,True
14,Lindsay,Hernandez,sanchezthomas@example.org,569.436.7632x016,83172 Contreras Points Suite 798,Rivasside,New Hampshire,21362,USA,2025-09-01,Premium,True
15,Michelle,Cole,maryramirez@example.net,434.571.4345x5812,231 Russell Plains Suite 603,Priceshire,Vermont,03061,USA,2025-11-28,Basic,False
16,Nicole,Johnston,wsmith@example.com,001-766-888-9373x46706,2980 Vargas Shore,North Dawnberg,New Jersey,24320,USA,2024-03-12,Standard,True
17,Jorge,Murphy,wmurphy@example.com,264-517-0805x310,92327 Anne Forge,Lyonsstad,Hawaii,79916,USA,2025-05-18,Premium,True
18,Tamara,Higgins,tamirodriguez@example.org,296-763-1931x4919,518 Smith Manor Suite 165,Zimmermanchester,Idaho,96681,USA,2025-03-13,Standard,True
19,Tammy,Nelson,umarshall@example.net,253-914-7379x965,73545 Beard Squares Suite 808,North John,Nebraska,64539,USA,2025-04-08,Premium,False
20,Katherine,Vaughn,bwest@example.org,736-734-9578x8568,4431 Leslie Summit Apt. 337,Jennyhaven,Rhode Island,37594,USA,2024-04-20,Premium,True
21,Marissa,Phillips,harry08@example.org,900-984-2710x947,04711 Vasquez Ports Apt. 229,Christopherbury,Delaware,73648,USA,2025-09-17,Standard,True
22,Robert,Carlson,kimberlyjames@example.com,496-549-9091x3341,120 Hayes Ranch,Carterbury,Maine,93163,USA,2024-09-08,Premium,False
23,Jacqueline,Gibson,sandrafrench@example.net,001-336-218-3242,9947 Taylor Hollow,Benderhaven,Ohio,65223,USA,2025-01-07,Basic,True
24,Christopher,Williams,mnavarro@example.com,4139990490,2967 Theodore Lodge Suite 512,Robertfort,Maine,87347,USA,2024-12-09,Standard,True
25,Lisa,Pierce,qmiller@example.com,768-908-7603,34824 Gilmore Oval Apt. 093,West Andrea,Oklahoma,53977,USA,2024-04-14,Basic,True
26,Jeffrey,Skinner,murraydavid@example.org,448.346.7737x8263,5840 Barber Villages Suite 278,Reedside,Wisconsin,71729,USA,2024-11-20,Basic,True
27,Stanley,Morris,tinaallen@example.com,260.457.6627,71870 Robert Shoal Apt. 174,Cindyfurt,Tennessee,11028,USA,2025-11-24,Basic,True
28,Mark,Craig,ofinley@example.net,001-478-609-1343x16117,50455 Thomas Pines,Knightburgh,Hawaii,23447,USA,2024-04-03,Basic,True
29,Chelsea,Reyes,tyleraguilar@example.org,647.840.7482x175,4367 John Ports Suite 944,Port Dominiqueview,Alabama,74678,USA,2025-12-04,Premium,True
30,Gina,Garner,lozanojulie@example.com,001-739-453-3942x10470,5623 Kristin Wells,Alyssaview,Hawaii,34182,USA,2026-01-11,Standard,True
31,Makayla,Olson,julie51@example.com,623-368-5160,4965 Emily Mountains Apt. 985,Lake Bryan,New Jersey,92392,USA,2024-09-23,Premium,True
32,Debra,Wilson,shahkevin@example.com,813-482-6758,179 Crosby Harbors Apt. 537,Sampsonstad,Connecticut,90374,USA,2024-11-13,Standard,True
33,Amy,Levine,bruce43@example.org,513.590.0532x931,2904 Vanessa Plains,Laurenville,Texas,03880,USA,2024-05-14,Standard,True
34,Alexis,Tyler,briannasmith@example.com,3269811775,084 Schneider Burgs,South Melaniechester,Utah,14651,USA,2025-02-16,Premium,True
35,Jennifer,Wallace,morriseddie@example.org,899-385-6984x789,836 Beasley Loop,Mariafurt,Nebraska,96132,USA,2024-04-15,Standard,True
36,Larry,Edwards,nicholas27@example.org,711-361-5280,6049 Bell Ports Apt. 273,West Meganstad,Delaware,37013,USA,2025-04-22,Basic,True
37,Jeremy,Patterson,lynchdiane@example.net,302-444-5502x296,83667 Moore Inlet,Kimberlyshire,Rhode Island,11636,USA,2025-12-19,Basic,True
38,Brian,Moore,craigjoseph@example.net,(979)676-4381x56149,69003 Dougherty Trafficway,Port Jonathan,Massachusetts,16227,USA,2024-02-08,Basic,True
39,Tyler,Jordan,omarpadilla@example.net,+1-751-860-6071,641 Smith Islands Apt. 975,South Meganbury,Nevada,77685,USA,2024-12-09,Basic,True
40,Alexandria,Foster,julie35@example.org,581-388-3552,3292 Gregory Trail,Marshallshire,Wisconsin,76453,USA,2025-01-15,Premium,False
41,Erin,Macias,michelle52@example.com,377-644-9058,0054 Deanna Walk Apt. 998,Fordside,West Virginia,05877,USA,2025-01-16,Standard,True
42,Regina,Armstrong,marcalvarez@example.org,9719518203,5466 Shelton Center,Cameronville,Oklahoma,89417,USA,2024-11-28,Basic,True
43,Justin,Cummings,mathewaguilar@example.org,(346)829-1486x528,54235 Lee Dam Apt. 141,Lake Matthewberg,Rhode Island,49878,USA,2024-05-31,Basic,True
44,Francis,Guerra,jenniferwilliams@example.com,+1-937-994-7383x47359,8862 Laurie Dam Suite 075,Lake Meghanville,Maine,11494,USA,2025-09-16,Premium,True
45,Ethan,Cole,mariahdavis@example.org,550.260.6853x615,52204 Horton Dam Suite 790,North Jonathanberg,Oklahoma,95821,USA,2025-05-19,Premium,True
46,Allison,Rodriguez,john10@example.org,(897)211-7980x89324,96218 Jones Pine Apt. 670,Zavalaview,West Virginia,02629,USA,2024-11-05,Standard,True
47,Kristina,Cooper,ingramjill@example.com,(405)385-2772,43030 Mahoney Passage Suite 874,Port Deborahport,Minnesota,06766,USA,2025-12-05,Premium,True
48,Diana,Nelson,samuel67@example.com,627-775-8416x16928,54479 Jackson Mills,Sergiostad,South Carolina,57509,USA,2024-09-02,Basic,True
49,Danielle,Moody,jonesdana@example.com,220.429.7021x35569,5719 Alyssa Locks Suite 431,Lake Jacobhaven,Missouri,74120,USA,2024-05-03,Premium,False
50,Jose,Green,nlewis@example.com,001-373-612-1727x155,25831 Laura Freeway Suite 058,Tannerside,Florida,80710,USA,2025-12-19,Standard,False
51,Christopher,Parker,xfox@example.com,001-412-451-7785,8018 Kevin Estates,Sarahbury,Minnesota,68513,USA,2025-12-28,Premium,True
52,Justin,Miller,cynthiapierce@example.org,+1-749-281-8299x2299,09439 Montgomery Burgs,Smallside,Maine,84637,USA,2024-09-23,Premium,True
53,Timothy,Ballard,eevans@example.net,4277677359,562 Robertson Coves Suite 371,Shannonberg,Connecticut,07133,USA,2024-09-14,Basic,True
54,Sonia,Lin,kwright@example.com,001-953-227-8774,8733 Williams Haven,Harperfort,Maine,70846,USA,2024-02-08,Basic,False
55,Melanie,Jordan,jessica65@example.org,(609)383-5841x6878,65585 James Pass,Porterton,Arizona,18462,USA,2025-08-09,Basic,False
56,Mason,Wells,ghernandez@example.org,695-926-9495x88879,5169 Robles Stream,New Thomasshire,Oregon,30325,USA,2025-08-15,Standard,True
57,Brett,Castillo,rhernandez@example.org,8915307562,970 April Points Suite 786,Suemouth,Ohio,45370,USA,2025-04-01,Premium,False
58,Michael,Ingram,chelsea33@example.com,+1-743-644-3757,98665 Kelly Heights Apt. 574,Lewisside,Louisiana,74165,USA,2025-07-26,Premium,True
59,Joseph,Rodriguez,johnsantiago@example.net,230.416.5712,773 Morris Rue Apt. 193,East Robertburgh,Arizona,52535,USA,2025-10-06,Premium,True
